_id,location_name,address,year,year_stage,suspected_non_fatal_overdoses
687,SSHA Downsview Dells,1651 Sheppard Ave W,2021,Q4,< 5
688,SSHA Downtown Hotel Program,77 Ryerson Ave,2018,Q1,
689,SSHA Downtown Hotel Program,77 Ryerson Ave,2018,Q2,
690,SSHA Downtown Hotel Program,77 Ryerson Ave,2018,Q3,
691,SSHA Downtown Hotel Program,77 Ryerson Ave,2018,Q4,< 5
692,SSHA Downtown Hotel Program,77 Ryerson Ave,2019,Q1,< 5
693,SSHA Downtown Hotel Program,77 Ryerson Ave,2019,Q2,< 5
694,SSHA Downtown Hotel Program,77 Ryerson Ave,2019,Q3,< 5
695,SSHA Downtown Hotel Program,77 Ryerson Ave,2019,Q4,< 5
696,SSHA Downtown Hotel Program,77 Ryerson Ave,2020,Q1,
697,SSHA Downtown Hotel Program,77 Ryerson Ave,2020,Q2,
698,SSHA Downtown Hotel Program,77 Ryerson Ave,2020,Q3,< 5
699,SSHA Downtown Hotel Program,77 Ryerson Ave,2020,Q4,< 5
700,SSHA Downtown Hotel Program,77 Ryerson Ave,2021,Q1,< 5
701,SSHA Downtown Hotel Program,77 Ryerson Ave,2021,Q2,< 5
702,SSHA Downtown Hotel Program,77 Ryerson Ave,2021,Q3,0
703,SSHA Downtown Hotel Program,77 Ryerson Ave,2021,Q4,0
704,SSHA Downtown Response Program,76 Church St,2020,Q1,
705,SSHA Downtown Response Program,76 Church St,2020,Q2,
706,SSHA Downtown Response Program,76 Church St,2020,Q3,
707,SSHA Downtown Response Program,76 Church St,2020,Q4,5
708,SSHA Downtown Response Program,76 Church St,2021,Q1,5
709,SSHA Downtown Response Program,76 Church St,2021,Q2,< 5
710,SSHA Downtown Response Program,76 Church St,2021,Q3,< 5
711,SSHA Downtown Response Program,76 Church St,2021,Q4,7
712,SSHA Downtown Response Program,76 Church St,2022,Q1,< 5
713,SSHA East End Hotel Program,1684 Queen St E,2022,Q1,< 5
714,SSHA Etobicoke Hotel Program,,2022,Q1,< 5
715,SSHA Family Residence,4222 Kingston Rd,2018,Q1,
716,SSHA Family Residence,4222 Kingston Rd,2018,Q2,
717,SSHA Family Residence,4222 Kingston Rd,2018,Q3,< 5
718,SSHA Family Residence,4222 Kingston Rd,2018,Q4,
719,SSHA Family Residence,4222 Kingston Rd,2020,Q1,
720,SSHA Family Residence,4222 Kingston Rd,2020,Q2,< 5
721,SSHA Family Residence,4222 Kingston Rd,2020,Q3,
722,SSHA Family Residence,4222 Kingston Rd,2020,Q4,< 5
723,SSHA Fort York Residence,38 Bathurst St,2018,Q1,< 5
724,SSHA Fort York Residence,38 Bathurst St,2018,Q2,0
725,SSHA Fort York Residence,38 Bathurst St,2018,Q3,< 5
726,SSHA Fort York Residence,38 Bathurst St,2018,Q4,< 5
727,SSHA Fort York Residence,38 Bathurst St,2019,Q1,
728,SSHA Fort York Residence,38 Bathurst St,2019,Q2,
729,SSHA Fort York Residence,38 Bathurst St,2019,Q3,
730,SSHA Fort York Residence,38 Bathurst St,2019,Q4,< 5
731,SSHA Fort York Residence,38 Bathurst St,2020,Q1,
732,SSHA Fort York Residence,38 Bathurst St,2020,Q2,< 5
733,SSHA Fort York Residence,38 Bathurst St,2020,Q3,
734,SSHA Fort York Residence,38 Bathurst St,2020,Q4,< 5
735,SSHA Fort York Residence,38 Bathurst St,2021,Q1,
736,SSHA Fort York Residence,38 Bathurst St,2021,Q2,
737,SSHA Fort York Residence,38 Bathurst St,2021,Q3,< 5
738,SSHA Fort York Residence,38 Bathurst St,2021,Q4,< 5
739,SSHA Fort York Residence,38 Bathurst St,2022,Q1,< 5
740,SSHA Junction Place,731 Runnymede Rd,2020,Q1,< 5
741,SSHA Junction Place,731 Runnymede Rd,2020,Q2,< 5
742,SSHA Junction Place,731 Runnymede Rd,2020,Q3,
743,SSHA Junction Place,731 Runnymede Rd,2020,Q4,< 5
744,SSHA Junction Place,731 Runnymede Rd,2021,Q1,0
745,SSHA Junction Place,731 Runnymede Rd,2021,Q2,< 5
746,SSHA Junction Place,731 Runnymede Rd,2021,Q3,5
747,SSHA Junction Place,731 Runnymede Rd,2021,Q4,12
748,SSHA Junction Place,731 Runnymede Rd,2022,Q1,< 5
749,SSHA Robertson House,291 Sherbourne St,2019,Q1,
750,SSHA Robertson House,291 Sherbourne St,2019,Q2,
751,SSHA Robertson House,291 Sherbourne St,2019,Q3,< 5
752,SSHA Robertson House,291 Sherbourne St,2019,Q4,
753,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2020,Q1,
754,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2020,Q2,
755,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2020,Q3,14
756,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2020,Q4,11
757,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2021,Q1,5
758,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2021,Q2,15
759,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2021,Q3,7
760,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2021,Q4,11
761,SSHA Roehampton Hotel Program,808 Mt Pleasant Rd,2022,Q1,5
762,SSHA Scarborough Hotel Program 1,4584 Kingston Rd,2021,Q1,< 5
763,SSHA Scarborough Hotel Program 1,4584 Kingston Rd,2021,Q2,< 5
764,SSHA Scarborough Hotel Program 2,4584 Kingston Rd,2021,Q3,10
765,SSHA Scarborough Hotel Program 2,4584 Kingston Rd,2021,Q4,5
766,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2019,Q1,
767,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2019,Q2,< 5
768,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2019,Q3,
769,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2019,Q4,
770,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2020,Q1,
771,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2020,Q2,
772,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2020,Q3,
773,SSHA Scarborough Hotel Program 2,3137 Kingston Rd,2020,Q4,< 5
774,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,2019,Q1,< 5
775,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,2019,Q2,< 5
776,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,2019,Q3,
777,SSHA Scarborough Hotel Program 3,4674 Kingston Rd,2019,Q4,
778,SSHA Scarborough Hotel Program 4,4674 Kingston Rd,2021,Q1,
779,SSHA Scarborough Hotel Program 5,4674 Kingston Rd,2021,Q2,
780,SSHA Scarborough Hotel Program 6,4674 Kingston Rd,2021,Q3,< 5
781,SSHA Scarborough Hotel Program 6,4674 Kingston Rd,2021,Q4,< 5
782,SSHA Scarborough Response Program,2685 Kingston Rd,2020,Q1,
783,SSHA Scarborough Response Program,2685 Kingston Rd,2020,Q2,
784,SSHA Scarborough Response Program,2685 Kingston Rd,2020,Q3,
785,SSHA Scarborough Response Program,2685 Kingston Rd,2020,Q4,< 5
786,SSHA Scarborough Village Residence,3306 Kingston Rd,2021,Q1,
787,SSHA Scarborough Village Residence,3306 Kingston Rd,2021,Q2,
788,SSHA Scarborough Village Residence,3306 Kingston Rd,2021,Q3,
789,SSHA Scarborough Village Residence,3306 Kingston Rd,2021,Q4,< 5
790,SSHA Seaton House,339 George St,2018,Q1,8
791,SSHA Seaton House,339 George St,2018,Q2,< 5
792,SSHA Seaton House,339 George St,2018,Q3,13
793,SSHA Seaton House,339 George St,2018,Q4,19
794,SSHA Seaton House,339 George St,2019,Q1,25
795,SSHA Seaton House,339 George St,2019,Q2,27
796,SSHA Seaton House,339 George St,2019,Q3,11
797,SSHA Seaton House,339 George St,2019,Q4,13
798,SSHA Seaton House,339 George St,2020,Q1,16
799,SSHA Seaton House,339 George St,2020,Q2,7
800,SSHA Seaton House,339 George St,2020,Q3,6
801,SSHA Seaton House,339 George St,2020,Q4,17
802,SSHA Seaton House,339 George St,2021,Q1,10
803,SSHA Seaton House,339 George St,2021,Q2,21
804,SSHA Seaton House,339 George St,2021,Q3,42
805,SSHA Seaton House,339 George St,2021,Q4,45
806,SSHA Seaton House,339 George St,2022,Q1,38
807,SSHA Womens' Residence,674 Dundas St W,2018,Q1,
808,SSHA Womens' Residence,674 Dundas St W,2018,Q2,< 5
809,SSHA Womens' Residence,674 Dundas St W,2018,Q3,< 5
810,SSHA Womens' Residence,674 Dundas St W,2018,Q4,< 5
811,SSHA Womens' Residence,674 Dundas St W,2019,Q1,< 5
812,SSHA Womens' Residence,674 Dundas St W,2019,Q2,
813,SSHA Womens' Residence,674 Dundas St W,2019,Q3,
814,SSHA Womens' Residence,674 Dundas St W,2019,Q4,< 5
815,SSHA Womens' Residence,674 Dundas St W,2020,Q1,< 5
816,SSHA Womens' Residence,674 Dundas St W,2020,Q2,< 5
817,SSHA Womens' Residence,674 Dundas St W,2020,Q3,0
818,SSHA Womens' Residence,674 Dundas St W,2020,Q4,5
819,SSHA Womens' Residence,674 Dundas St W,2021,Q1,< 5
820,SSHA Womens' Residence,674 Dundas St W,2021,Q2,6
821,SSHA Womens' Residence,674 Dundas St W,2021,Q3,< 5
822,SSHA Womens' Residence,674 Dundas St W,2021,Q4,9
823,SSHA Womens' Residence,674 Dundas St W,2022,Q1,11
824,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2018,Q1,< 5
825,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2018,Q2,12
826,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2018,Q3,5
827,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2018,Q4,< 5
828,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2019,Q1,8
829,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2019,Q2,6
830,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2019,Q3,
831,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2019,Q4,< 5
832,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2020,Q1,5
833,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2020,Q2,
834,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2020,Q3,
835,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2020,Q4,
836,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2021,Q1,
837,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2021,Q2,
838,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2021,Q3,
839,St. Felix Centre 25 Augusta Ave Respite ,25 Augusta Ave,2021,Q4,< 5
840,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2019,Q1,35
841,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2019,Q2,51
842,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2019,Q3,36
843,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2019,Q4,41
844,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2020,Q1,34
845,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2020,Q2,56
846,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2020,Q3,31
847,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2020,Q4,50
848,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2021,Q1,11
849,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2021,Q2,21
850,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2021,Q3,34
851,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2021,Q4,23
852,St. Felix Centre 69 Fraser Ave Respite ,69 Fraser Ave,2022,Q1,21
853,St. Felix Centre Esplanade Response Program,98 The Esplanade,2020,Q1,
854,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q4,< 5
855,St. Felix Centre Esplanade Response Program,98 The Esplanade,2020,Q2,< 5
856,St. Felix Centre Esplanade Response Program,98 The Esplanade,2020,Q3,< 5
857,St. Felix Centre Esplanade Response Program,98 The Esplanade,2020,Q4,< 5
858,St. Simon's,525 Bloor St E,2018,Q1,
859,St. Simon's,525 Bloor St E,2018,Q2,
860,St. Simon's,525 Bloor St E,2018,Q3,< 5
861,St. Simon's,525 Bloor St E,2018,Q4,0
862,St. Simon's,525 Bloor St E,2019,Q1,
863,St. Simon's,525 Bloor St E,2019,Q2,< 5
864,St. Simon's,525 Bloor St E,2019,Q3,< 5
865,St. Simon's,525 Bloor St E,2019,Q4,< 5
866,St. Simon's,525 Bloor St E,2020,Q1,
867,St. Simon's,525 Bloor St E,2020,Q2,0
868,St. Simon's,525 Bloor St E,2020,Q3,
869,St. Simon's,525 Bloor St E,2020,Q4,
870,St. Simon's Clubbe House,556 Sherbourne St,2021,Q1,0
871,St. Simon's Clubbe House,556 Sherbourne St,2021,Q2,< 5
872,St. Simon's Clubbe House,556 Sherbourne St,2021,Q3,0
873,St. Simon's Clubbe House,556 Sherbourne St,2021,Q4,0
874,Street Haven   ,87 Pembroke St,2018,Q1,< 5
875,Street Haven   ,87 Pembroke St,2018,Q2,
876,Street Haven   ,87 Pembroke St,2018,Q3,< 5
877,Street Haven   ,87 Pembroke St,2018,Q4,
878,Street Haven   ,87 Pembroke St,2020,Q1,< 5
879,Street Haven   ,87 Pembroke St,2020,Q2,
880,Street Haven   ,87 Pembroke St,2020,Q3,
881,Street Haven   ,87 Pembroke St,2020,Q4,< 5
882,Street Haven   ,87 Pembroke St,2021,Q1,0
883,Street Haven   ,87 Pembroke St,2021,Q2,< 5
884,Street Haven   ,87 Pembroke St,2021,Q3,0
885,Street Haven   ,87 Pembroke St,2021,Q4,0
886,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q1,
887,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q2,
888,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q3,< 5
889,Street Haven Downtown Hotel Program,26 Gerrard St E,2020,Q4,
890,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q1,
891,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q2,
892,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q3,
893,Street Haven Downtown Hotel Program,26 Gerrard St E,2021,Q4,< 5
894,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q1,< 5
895,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q2,< 5
896,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q3,6
897,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2018,Q4,5
898,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q1,< 5
899,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q2,6
900,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q3,< 5
901,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2019,Q4,5
902,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q1,< 5
903,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q2,< 5
904,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q3,< 5
905,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2020,Q4,< 5
906,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q1,11
907,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q2,7
908,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q3,< 5
909,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2021,Q4,5
910,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,2022,Q1,9
911,SVDP Elisa House,60 Newcastle St,2021,Q1,
912,SVDP Elisa House,60 Newcastle St,2021,Q2,
913,SVDP Elisa House,60 Newcastle St,2021,Q3,< 5
914,SVDP Elisa House,60 Newcastle St,2021,Q4,0
915,SVDP Mary's Home,70 Gerrard St E,2021,Q1,< 5
916,SVDP Mary's Home,70 Gerrard St E,2021,Q2,0
917,SVDP Mary's Home,70 Gerrard St E,2021,Q3,0
918,SVDP Mary's Home,70 Gerrard St E,2021,Q4,0
919,SVDP Mary's Home,70 Gerrard St E,2022,Q1,< 5
920,Trinity CRC,155 Crawford St,2020,Q1,
921,Trinity CRC,155 Crawford St,2020,Q2,< 5
922,Trinity CRC,155 Crawford St,2020,Q3,
923,Trinity CRC,155 Crawford St,2020,Q4,
924,Trinity CRC,155 Crawford St,2021,Q1,0
925,Trinity CRC,155 Crawford St,2021,Q2,< 5
926,Turning Point Youth Services,95 Wellesley St E,2018,Q1,< 5
927,Turning Point Youth Services,95 Wellesley St E,2018,Q2,< 5
928,Turning Point Youth Services,95 Wellesley St E,2018,Q3,
929,Turning Point Youth Services,95 Wellesley St E,2018,Q4,
930,Turning Point Youth Services,95 Wellesley St E,2019,Q1,< 5
931,Turning Point Youth Services,95 Wellesley St E,2019,Q2,< 5
932,Turning Point Youth Services,95 Wellesley St E,2019,Q3,
933,Turning Point Youth Services,95 Wellesley St E,2019,Q4,< 5
934,Turning Point Youth Services,95 Wellesley St E,2020,Q1,< 5
935,Turning Point Youth Services,95 Wellesley St E,2020,Q2,
936,Turning Point Youth Services,95 Wellesley St E,2020,Q3,
937,Turning Point Youth Services,95 Wellesley St E,2020,Q4,
938,Turning Point Youth Services,95 Wellesley St E,2021,Q1,0
939,Turning Point Youth Services,95 Wellesley St E,2021,Q2,< 5
940,Turning Point Youth Services,95 Wellesley St E,2021,Q3,< 5
941,Turning Point Youth Services,95 Wellesley St E,2021,Q4,0
942,Turning Point Youth Services,95 Wellesley St E,2022,Q1,< 5
943,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2021,Q2,0
944,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2021,Q3,0
945,Vanauley Street YMCA Emergency Shelter,7 Vanauley St,2021,Q4,< 5
946,Warden Hilltop CC,25 Mendelssohn St,2020,Q1,
947,Warden Hilltop CC,25 Mendelssohn St,2020,Q2,< 5
948,Warden Hilltop CC,25 Mendelssohn St,2020,Q3,
949,Warden Hilltop CC,25 Mendelssohn St,2020,Q4,
950,Warden Hilltop CC,25 Mendelssohn St,2022,Q1,21
951,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q1,
952,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q2,< 5
953,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q3,
954,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2018,Q4,< 5
955,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q1,
956,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q2,< 5
957,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q3,
958,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2020,Q4,
959,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q1,0
960,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q2,< 5
961,Warden Woods 705 Progress Ave Respite ,705 Progress Ave,2021,Q3,< 5
962,YMCA House,7 Vanauley St,2020,Q1,
963,YMCA House,7 Vanauley St,2020,Q3,< 5
964,YMCA House,7 Vanauley St,2020,Q4,< 5
965,YMCA House,7 Vanauley St,2021,Q1,< 5
966,YMCA Sprott House ,21 Walmer Rd,2019,Q1,
967,YMCA Sprott House ,21 Walmer Rd,2019,Q2,< 5
968,YMCA Sprott House ,21 Walmer Rd,2019,Q3,
969,YMCA Sprott House ,21 Walmer Rd,2019,Q4,
970,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q1,
971,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q2,
972,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q3,
973,Youth Agencies Downtown Hotel Program,222 Spadina Ave,2020,Q4,< 5
974,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q1,
975,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q2,
976,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q3,17
977,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2020,Q4,23
978,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q1,21
979,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q2,6
980,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q3,17
981,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2021,Q4,17
982,Youth Agencies Scarborough Hotel Program,2035 Kennedy Rd,2022,Q1,12
983,Youth Without Shelter,6 Warrendale Ct,2018,Q1,
984,Youth Without Shelter,6 Warrendale Ct,2018,Q2,
985,Youth Without Shelter,6 Warrendale Ct,2018,Q3,< 5
986,Youth Without Shelter,6 Warrendale Ct,2018,Q4,
987,Youth Without Shelter,6 Warrendale Ct,2021,Q1,0
988,Youth Without Shelter,6 Warrendale Ct,2021,Q2,< 5
989,Youth Without Shelter,6 Warrendale Ct,2021,Q3,0
990,Youth Without Shelter,6 Warrendale Ct,2021,Q4,0
991,YouthLink ,747 Warden Ave,2020,Q1,
992,YouthLink ,747 Warden Ave,2020,Q2,
993,YouthLink ,747 Warden Ave,2020,Q3,< 5
994,YouthLink ,747 Warden Ave,2020,Q4,< 5
995,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q1,< 5
996,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q2,
997,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q3,
998,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2018,Q4,
999,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q1,
1000,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q2,
1001,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q3,0
1002,YWCA - First Stop Woodlawn,80 Woodlawn Ave E,2020,Q4,
1003,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q1,< 5
1004,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q2,0
1005,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q3,0
1006,YWCA 1st Stop Woodlawn ,80 Woodlawn Ave E,2021,Q4,< 5
1007,YWCA Davenport Shelter,348 Davenport Rd,2018,Q1,< 5
1008,YWCA Davenport Shelter,348 Davenport Rd,2018,Q2,< 5
1009,YWCA Davenport Shelter,348 Davenport Rd,2018,Q3,
1010,YWCA Davenport Shelter,348 Davenport Rd,2018,Q4,
1011,YWCA Davenport Shelter,348 Davenport Rd,2019,Q1,< 5
1012,YWCA Davenport Shelter,348 Davenport Rd,2019,Q2,< 5
1013,YWCA Davenport Shelter,348 Davenport Rd,2019,Q3,
1014,YWCA Davenport Shelter,348 Davenport Rd,2019,Q4,
1015,YWCA Davenport Shelter,348 Davenport Rd,2020,Q1,< 5
1016,YWCA Davenport Shelter,348 Davenport Rd,2020,Q2,< 5
1017,YWCA Davenport Shelter,348 Davenport Rd,2020,Q3,
1018,YWCA Davenport Shelter,348 Davenport Rd,2020,Q4,
1019,YWCA East End Hotel Program,1684 Queen St E,2020,Q1,
1020,YWCA East End Hotel Program,1684 Queen St E,2020,Q2,< 5
1021,YWCA East End Hotel Program,1684 Queen St E,2020,Q3,
1022,YWCA East End Hotel Program,1684 Queen St E,2020,Q4,< 5
1023,YWCA East End Hotel Program,1684 Queen St E,2021,Q1,0
1024,YWCA East End Hotel Program,1684 Queen St E,2021,Q2,< 5
1025,YWCA East End Hotel Program,1684 Queen St E,2021,Q3,< 5
1026,YWCA East End Hotel Program,1684 Queen St E,2021,Q4,< 5
